exam,q_no,category
56-59th BPSC (2015),1,Current Affairs
56-59th BPSC (2015),2,Current Affairs
56-59th BPSC (2015),3,Current Affairs
56-59th BPSC (2015),4,Current Affairs
56-59th BPSC (2015),5,Current Affairs
56-59th BPSC (2015),6,Current Affairs
56-59th BPSC (2015),7,Current Affairs
56-59th BPSC (2015),8,Bihar Special
56-59th BPSC (2015),9,Current Affairs
56-59th BPSC (2015),10,Current Affairs
56-59th BPSC (2015),11,Current Affairs
56-59th BPSC (2015),12,Current Affairs
56-59th BPSC (2015),13,Current Affairs
56-59th BPSC (2015),14,Current Affairs
56-59th BPSC (2015),15,Current Affairs
56-59th BPSC (2015),16,Geography
56-59th BPSC (2015),17,Geography
56-59th BPSC (2015),18,Geography
56-59th BPSC (2015),19,Geography
56-59th BPSC (2015),20,Geography
56-59th BPSC (2015),21,Geography
56-59th BPSC (2015),22,Geography
56-59th BPSC (2015),23,Geography
56-59th BPSC (2015),24,Economics
56-59th BPSC (2015),25,Polity
56-59th BPSC (2015),26,Bihar Special
56-59th BPSC (2015),27,Bihar Special
56-59th BPSC (2015),28,Geography
56-59th BPSC (2015),29,Geography
56-59th BPSC (2015),30,Economics
56-59th BPSC (2015),31,Economics
56-59th BPSC (2015),32,Economics
56-59th BPSC (2015),33,Economics
56-59th BPSC (2015),34,Economics
56-59th BPSC (2015),35,Modern History
56-59th BPSC (2015),36,Modern History
56-59th BPSC (2015),37,Modern History
56-59th BPSC (2015),38,Modern History
56-59th BPSC (2015),39,Modern History
56-59th BPSC (2015),40,Economics
56-59th BPSC (2015),41,Biology
56-59th BPSC (2015),42,Biology
56-59th BPSC (2015),43,Biology
56-59th BPSC (2015),44,Biology
56-59th BPSC (2015),45,Biology
56-59th BPSC (2015),46,Chemistry
56-59th BPSC (2015),47,Biology
56-59th BPSC (2015),48,Biology
56-59th BPSC (2015),49,Biology
56-59th BPSC (2015),50,Biology
56-59th BPSC (2015),51,Current Affairs
56-59th BPSC (2015),52,Current Affairs
56-59th BPSC (2015),53,Current Affairs
56-59th BPSC (2015),54,Current Affairs
56-59th BPSC (2015),55,Current Affairs
56-59th BPSC (2015),56,Bihar Special
56-59th BPSC (2015),57,Polity
56-59th BPSC (2015),58,Current Affairs
56-59th BPSC (2015),59,Current Affairs
56-59th BPSC (2015),60,Economics
56-59th BPSC (2015),61,Economics
56-59th BPSC (2015),62,Economics
56-59th BPSC (2015),63,Economics
56-59th BPSC (2015),64,Economics
56-59th BPSC (2015),65,Economics
56-59th BPSC (2015),66,Economics
56-59th BPSC (2015),67,Economics
56-59th BPSC (2015),68,Economics
56-59th BPSC (2015),69,Economics
56-59th BPSC (2015),70,Modern History
56-59th BPSC (2015),71,Modern History
56-59th BPSC (2015),72,Modern History
56-59th BPSC (2015),73,Modern History
56-59th BPSC (2015),74,Modern History
56-59th BPSC (2015),75,Bihar Special
56-59th BPSC (2015),76,Modern History
56-59th BPSC (2015),77,Modern History
56-59th BPSC (2015),78,Bihar Special
56-59th BPSC (2015),79,Modern History
56-59th BPSC (2015),80,Modern History
56-59th BPSC (2015),81,Modern History
56-59th BPSC (2015),82,Modern History
56-59th BPSC (2015),83,Ancient History
56-59th BPSC (2015),84,Bihar Special
56-59th BPSC (2015),85,Ancient History
56-59th BPSC (2015),86,Bihar Special
56-59th BPSC (2015),87,Bihar Special
56-59th BPSC (2015),88,Bihar Special
56-59th BPSC (2015),89,Geography
56-59th BPSC (2015),90,Geography
56-59th BPSC (2015),91,Geography
56-59th BPSC (2015),92,Geography
56-59th BPSC (2015),93,Geography
56-59th BPSC (2015),94,Geography
56-59th BPSC (2015),95,Geography
56-59th BPSC (2015),96,Modern History
56-59th BPSC (2015),97,Modern History
56-59th BPSC (2015),98,Modern History
