source_pdf,pages,extracted_characters,sha256,coverage
L1. SYLLABUS ANALYSIS & CELL.pdf,4,8205,f010b8d1a23f286c7f0a2f7d514f7666a595c49567f5176b536a2dcf1a9ca35d,read end-to-end; unique educational points consolidated
"L10. Nutrition, Part - 01.pdf",4,8512,c7264cfe054a8a730bbd0ad47ac392fc4004faca933d310b78a6df1a474fc092,read end-to-end; unique educational points consolidated
"L11.  Nutrition, Part - 02.pdf",4,7134,d6cd799c130a9d55ebf80ccf6b011964bdbfa0e00a089a1f3d48d0efaddb6a3a,read end-to-end; unique educational points consolidated
"L12. Nutrition, Part - 03.pdf",4,8180,e6f98cd99be193f279063be43747f41f63dfb1dd7f512eeb302e148b1727e24a,read end-to-end; unique educational points consolidated
"L13. Digestive System, Part - 01.pdf",5,9170,444a1da6d9f873914fca48bb0a83e8adb9adb5bfe4e72f6bb13df6ee566ada56,read end-to-end; unique educational points consolidated
"L14. Digestive System, Part - 02.pdf",3,4637,685010e03610ebb32a4b2880c50f7915938da7cb1f455318ee9a1a402a0fcc9c,read end-to-end; unique educational points consolidated
"L15. Circulatory System, Part - 01.pdf",4,4720,530f98570481ecbd5b4d354bd350e08f3ed2858d4570fab83a32165a6ba89812,read end-to-end; unique educational points consolidated
"L16. Circulatory System, Part - 02.pdf",5,8107,e6526157cc4640572689da268e75cde32b59704af90ff75e48f72cfcacc78dad,read end-to-end; unique educational points consolidated
"L17. Circulatory System, Part - 03.pdf",4,6477,9a29f7de1c92784b16ced494624051bbe221a81330ed282eb0138a44dd1c5d50,read end-to-end; unique educational points consolidated
L18. Respiratory System- 01.pdf,3,2455,e5e8d7eb0cfb97ffc1908d958335398bcac1a23fe716b426c8419ae63b6f58d6,read end-to-end; unique educational points consolidated
L19. Respiratory System- 02.pdf,4,4450,312ab2a6b9d15b43771acf5a774a0f1576b1cd05c23a1ad062dcfb9825c9aacf,read end-to-end; unique educational points consolidated
L2. Cell Organelles.pdf,4,5435,2e92dc9a336d03b5f5fac46509012cb10c2830a907ec987fbb6b5c6aee9a65b5,read end-to-end; unique educational points consolidated
L20. Excretory System & Reproductive System.pdf,7,12610,d2aea8d8f2b2a909f0609da1e6c2bbefe77f53ea78b2efdab49419ae1d1ab446,read end-to-end; unique educational points consolidated
L21. Human Endocrine System.pdf,4,4356,5ad75e84ee4040388312a48f2b276d70bea4e5daf97abe9103800a8c69bcb5fc,read end-to-end; unique educational points consolidated
L22. Human Endocrine System.pdf,4,8298,bf78a9a6c867f91a2fd065515f39a75e79b494ca3127ecb1becb8aa62a2b830b,read end-to-end; unique educational points consolidated
L22. Nervous System - 01.pdf,4,8298,bf78a9a6c867f91a2fd065515f39a75e79b494ca3127ecb1becb8aa62a2b830b,read end-to-end; unique educational points consolidated
L23. Nervous System - 02.pdf,3,3094,7b9f6f6bcbaf7ee7b7a93e888a7b367a2eacacbc7f3633118d6735db24ee1718,read end-to-end; unique educational points consolidated
L24. Plant Kingdom.pdf,5,9795,e8503ac205a929c8190afe0822c6f05f717416f05bb3fe419a766029e37e9951,read end-to-end; unique educational points consolidated
L25. Plant Morphology.pdf,4,6728,e7713b5fb9b4085ba1645483b99da6e23f175655e69c164172dd46f0e7a48ec1,read end-to-end; unique educational points consolidated
"L26. Infectious and Non-Infectious Diseases, Part - 01.pdf",6,4208,af9d71582328c9e71f4e26af3558f2ece313543c22d4068d2d8d6c938d60e6bb,read end-to-end; unique educational points consolidated
"L27. Infectious and Non-Infectious Diseases, Part - 02.pdf",5,7564,c13d629d2be93787dcb1a2b3954897498a14eb7cc11b8bbf10b5da08494f3f57,read end-to-end; unique educational points consolidated
L28. Plant Physiology.pdf,6,10859,49fed59068d7eddb4c6a1abe006cf13b9dda4d99301b77c7d0f4bc69ec86b79f,read end-to-end; unique educational points consolidated
L29. Genetics and Evolution.pdf,6,11937,f928c3de43645312ef163585d57e716a883719ad55c1cd12f5e4d8ae6f8781e2,read end-to-end; unique educational points consolidated
L3. Cell Organelles II.pdf,3,3076,2aefa0b766b591cb341c44c52a4bebe3d51e2ec7f3bdbed0f087c9eac6d31e3a,read end-to-end; unique educational points consolidated
L30. Animal Diversity.pdf,5,7821,e7aad4914211f85e6c2666db89cbd1b7cc30ec321bc4d3b68a1d2ad2d75e9bdb,read end-to-end; unique educational points consolidated
L31. Ecology Microbes(Bacteria & Virus).pdf,5,5809,f59a5a7c61bce8dd5a595983718aee97f5f8f141194f830cc1ebd4bb22b3a8a1,read end-to-end; unique educational points consolidated
"L32. Molecular Basis of Inheritance, Miscellaneous.pdf",6,13471,457c8aa7c27d90741a79974ee09c535b63343a9b1a7bbcd9ed7dba5fbd09c7c8,read end-to-end; unique educational points consolidated
"L4. Nucleus Centrosome, Pollination.pdf",5,7456,2f20c23a90402a4e82d70f4b0f97962859d87db2d7da0d4804007e0e0de8d049,read end-to-end; unique educational points consolidated
L5. Fertilization-Formation of fruits.pdf,4,3635,63d7c50f1c7d160506a34f23f534d4f8e98866618b83cee93cc8ac1158a9964c,read end-to-end; unique educational points consolidated
L6. Nucleic Acid-DNA RNA and Protein Synthesis.pdf,4,6762,54265b6589f736c67f1f9ca680d41975dfc49be86557d7989da8251522506d9e,read end-to-end; unique educational points consolidated
L7.  Cell Division (Mitosis & meiosis).pdf,4,7199,014e7fcbb0b3999204f513db7541d71fa6e148e74e595d94d37f5ac5811687d5,read end-to-end; unique educational points consolidated
"L8. Plant tissue - Meristem, Permanent tissue, vascular tissue , annual rings.pdf",4,3454,b6ca936db6a6bfa0579b05e36bf26f7ca0469ffe437efd4e0d8d0dcf1668c19b,read end-to-end; unique educational points consolidated
L9. Animal tissues and Skeleton system.pdf,6,7479,9a62fac9d2310bdc92b622fae33b2583a3de281f783cc722de4d826bb737e407,read end-to-end; unique educational points consolidated
