dataset,year,questions,strict,medium,recurring,loose,novel,strict_pct,medium_pct,recurring_pct,loose_pct,medium_pct_same_dataset,verbatim_repeats,mean_cov_cliff,mean_cov_decay,mean_cov_flat
CSAT,2015,50,2,0,3,2,43,4.0,4.0,10.0,14.0,4.0,0,0.012,0.0109,0.012
CSAT,2016,59,3,0,0,0,56,5.1,5.1,5.1,5.1,5.1,2,0.0321,0.0282,0.0321
CSAT,2017,51,0,1,5,2,43,0.0,2.0,11.8,15.7,2.0,0,0.0095,0.0082,0.0095
CSAT,2018,36,0,0,9,3,24,0.0,0.0,25.0,33.3,0.0,0,0.0215,0.0188,0.0215
CSAT,2019,50,1,1,3,6,39,2.0,4.0,10.0,22.0,4.0,0,0.0163,0.013,0.0163
CSAT,2020,55,0,2,1,6,46,0.0,3.6,5.5,16.4,3.6,3,0.0176,0.015,0.0176
CSAT,2021,53,1,0,3,8,41,1.9,1.9,7.5,22.6,1.9,2,0.0311,0.0266,0.0311
CSAT,2022,63,8,4,4,6,41,12.7,19.0,25.4,34.9,19.0,5,0.1055,0.0962,0.1055
CSAT,2023,54,6,4,2,3,39,11.1,18.5,22.2,27.8,18.5,4,0.0476,0.0389,0.0476
CSAT,2024,61,57,0,0,0,4,93.4,93.4,93.4,93.4,93.4,55,0.6843,0.6316,0.6843
CSAT,2025,51,9,4,0,2,36,17.6,25.5,25.5,29.4,25.5,7,0.0686,0.0591,0.0686
CSAT,2026,58,4,2,2,4,46,6.9,10.3,13.8,20.7,10.3,5,0.0277,0.0236,0.0277
GS,2015,99,8,16,23,18,34,8.1,24.2,47.5,65.7,24.2,2,0.1386,0.0998,0.1386
GS,2016,100,4,15,27,26,28,4.0,19.0,46.0,72.0,19.0,0,0.1187,0.0876,0.1216
GS,2017,100,8,9,26,19,38,8.0,17.0,43.0,62.0,17.0,2,0.0965,0.0729,0.1009
GS,2018,100,9,12,27,22,30,9.0,21.0,48.0,70.0,21.0,2,0.11,0.0775,0.1148
GS,2019,100,5,10,21,22,42,5.0,15.0,36.0,58.0,15.0,4,0.0887,0.0622,0.0932
GS,2020,100,8,13,23,17,39,8.0,21.0,44.0,61.0,21.0,2,0.0908,0.0644,0.0976
GS,2021,100,5,12,20,21,42,5.0,17.0,37.0,58.0,17.0,3,0.0936,0.0668,0.1024
GS,2022,99,4,6,17,31,41,4.0,10.1,27.3,58.6,10.1,0,0.0912,0.0633,0.099
GS,2023,100,3,5,24,26,42,3.0,8.0,32.0,58.0,8.0,0,0.0722,0.0507,0.0786
GS,2024,100,5,12,27,23,33,5.0,17.0,44.0,67.0,17.0,1,0.089,0.0603,0.1024
GS,2025,100,7,11,19,27,36,7.0,18.0,37.0,64.0,18.0,1,0.0876,0.0595,0.1023
GS,2026,100,4,8,36,28,24,4.0,12.0,48.0,76.0,12.0,1,0.0859,0.056,0.1012
MAINS,2015,142,3,0,5,11,123,2.1,2.1,5.6,13.4,2.1,4,0.0446,0.0353,0.0446
MAINS,2016,147,1,2,14,19,111,0.7,2.0,11.6,24.5,2.0,4,0.0753,0.0561,0.076
MAINS,2017,141,2,3,11,19,106,1.4,3.5,11.3,24.8,3.5,4,0.0411,0.0319,0.0423
MAINS,2018,133,3,2,18,24,86,2.3,3.8,17.3,35.3,3.8,2,0.0719,0.0541,0.0744
MAINS,2019,141,2,1,18,21,99,1.4,2.1,14.9,29.8,2.1,3,0.0689,0.0535,0.0728
MAINS,2020,113,2,0,18,15,78,1.8,1.8,17.7,31.0,1.8,8,0.0644,0.0507,0.0702
MAINS,2021,143,10,4,22,29,78,7.0,9.8,25.2,45.5,9.8,8,0.0833,0.0616,0.0876
MAINS,2022,156,8,5,18,31,94,5.1,8.3,19.9,39.7,8.3,14,0.0894,0.0679,0.0916
MAINS,2023,137,6,2,14,20,95,4.4,5.8,16.1,30.7,5.8,7,0.0717,0.0526,0.0753
MAINS,2024,115,7,2,17,20,69,6.1,7.8,22.6,40.0,7.8,6,0.0757,0.0567,0.0787
MAINS,2025,141,8,6,24,24,79,5.7,9.9,27.0,44.0,9.9,6,0.0876,0.0618,0.0943
