Day,Priority,Focus,Study_Sources,PYQ_Target,Must_Memorise,Done_Study,Done_PYQ,Done_Flashcards,Notes
1,P1,Local Government (start),NCERT ICW Ch.8; Laxmikanth PRI,12 PRI PYQs,"40,243G,243I,243J,243K,21yrs,1952,Balwant Rai",,,,
2,P1,PRI finish + Parliament start,Lax PRI revise; NCERT ICW Ch.5; Lax Parliament,12 PRI + 10 Parliament,"110,112,102,120,330,25/30,60days,91st,104th",,,,
3,P1,Parliament finish,Lax Parliament procedure; LS vs RS table,11 Parliament + all wrongs,"Cut motion, VoA, Censure, Art.108",,,,
4,P2,Centre-State + FC + Emergency,"NCERT ICW Ch.7; Lax federal, FC, Emergency",~12 federal cluster,"1,2,3,280,352,356,360,1956,2000,1975",,,,
5,P2,FR + DPSP + Preamble,"NCERT ICW Ch.2; Lax FR, DPSP, Preamble",~13 rights cluster,"12-35,17,19,32,writs,Ireland,42nd words",,,,
6,P2,SC + HC + Basic Structure,NCERT ICW Ch.6+9; Lax SC/HC,~7 judiciary + past wrongs,"65/62,collegium,Kesavananda 1973,226",,,,
7,P3,President VP PM AG Cabinet Secy,NCERT ICW Ch.4; Lax Executive + AG,~10 executive,"re-elect unlimited,75,76,91st 15%,Cabinet Secy",,,,
8,P3,Governor State Leg ECI,Lax State + NCERT ICW Ch.3 + ECI,~8 state/election,"155,324,326,delimitation 2026,243K",,,,
9,P4,Making Features Amendments Bodies Parties,NCERT ICW Ch.1; Lax rest,all remaining PYQs,"42,44,73,74,91,104; 2y11m18d; 26 Nov; 22 Jul 1947",,,,
10,REV,Full 115 PYQ marathon,Error log + flashcards ONLY,115 timed (3 mocks),Final 1-page sheet from memory,,,,
