serial,exam,q_no,primary_topic,question,options,answer,status_A_topic,status_B_phase,status_C_full,notes
1,56-59th BPSC (2015),25,Local Government,The Decentralisation System was recommended by,A. C Rajagopalachari | B. J B Kripalani | C. Balwant Rai Mehta | D. Ashok Mehta,C,,,,
2,56-59th BPSC (2015),57,Miscellaneous,"Justice JS Verma Committee’s report, 2013 deals with",A. Centre-State relations | B. Change in law pertaining to offences against women | C. The Fundamental Rights | D. Rights of children,B,,,,
3,60-62nd BPSC (Combined),121,Directive Principles,Which of the following is/are listed among the Directive Principles in Part-IV of the Constitution of India?,"A. I, II and III | B. I and II | C. II and III | D. I, II and IV | E. None of the above/More than one of the above",(b),,,,
4,60-62nd BPSC (Combined),122,Parliament,Vote on Account is meant for,A. Vote on the report of CAG | B. To meet unforeseen expenditure | C. Appropriating funds pending passing of budget | D. Budget | E. None of the above/More than one of the above,(c),,,,
5,60-62nd BPSC (Combined),123,Making of the Constitution,Constitution Day of India is celebrated on,A. 2026-10-26 00:00:00 | B. 2026-11-26 00:00:00 | C. 2026-01-26 00:00:00 | D. 2026-08-15 00:00:00 | E. None of the above/More than one of the above,(b),,,,
6,60-62nd BPSC (Combined),124,Parliament,Which officer of the Government of India has the right to take part in the proceedings of Parliament of India even though he is not a member?,A. Vice-President | B. Attorney General of India | C. Comptroller and Auditor General | D. Election Commissioner | E. None of the above/More than one of the above,(b),,,,
7,60-62nd BPSC (Combined),125,Fundamental Rights,The Supreme Court has held that hoisting the National Flag a top the private buildings is a fundamental right of every citizen under:,A. Article 14 of the Constitution | B. Article 19 (1) (a) of the Constitution | C. Article 21 of the Constitution | D. Article 25 of the Constitution | E. None of the above/More than one of the above,(b),,,,
8,60-62nd BPSC (Combined),126,Fundamental Rights,Choose the fundamental rights available to Indian Citizen but not to aliens:,A. I and III | B. I and IV | C. II and IV | D. II and III | E. None of the above/More than one of the above,(a),,,,
9,60-62nd BPSC (Combined),127,Local Government,A Panchayat Samiti at the block level in India is only a/an,A. Advisory Body | B. Consultative Committee | C. Co-ordinating and Supervisory Authority | D. Administrative Authority | E. None of the above/More than one of the above,(c),,,,
10,60-62nd BPSC (Combined),128,Parliament,A seat of M.P. can be declared vacant if he absents himself from the house for a continuous period of,A. Six months | B. Two months | C. Three months | D. One year | E. None of the above/More than one of the above,(b),,,,
11,60-62nd BPSC (Combined),129,Centre-State Relations,Match the following : I. Union List II. State list III. Concurrent list,A. a b c | B. a c b | C. c a b | D. c b a | E. None of the above/More than one of the above,(b),,,,
12,60-62nd BPSC (Combined),130,Centre-State Relations,Creation of a new state requires a majority for Constitutional Amendment.,A. Simple | B. Two-third | C. Three-fourth | D. Two-third plus ratification by half of all states | E. None of the above/More than one of the above,(a),,,,
13,60-62nd BPSC (Combined),131,Preamble,The expression 'Socialist' was introduced in the Preamble of Indian Constitution by which amendment?,A. 42 Amendment | B. 44 Amendment | C. 46 Amendment | D. 74 Amendment | E. None of the above/More than one of the above,(a),,,,
14,60-62nd BPSC (Combined),132,President,President of India exercises his powers,A. either directly or through officers subordinate to him | B. through Ministers | C. through Prime Minister | D. through Cabinet | E. None of the above/More than one of the above,(e),,,,
15,60-62nd BPSC (Combined),144,Centre-State Relations,Which of the following Tax is levied by Union and collected and appropriated by States?,A. Stamp duties | B. Passenger & Goods Tax | C. Estate Duty | D. Taxes on Newspapers | E. None of the above/More than one of the above,(a),,,,
16,63rd BPSC,1,Local Government,Which one of the following Committees/Commissions recommended the creation of Nyaya Panchayats?,A. Balwant Rai Mehta Committee | B. Ashok Mehta Committee | C. G. V. K. Rao Committee | D. Sarkaria Commission | E. None of the above/More than one of the above,(B),,,,
17,63rd BPSC,2,Local Government,Which one of the following functions is not the concern of Local Self-Government?,A. Public Health | B. Sanitation | C. Public Utility Services | D. Maintenance of Public Order | E. None of the above/More than one of the above,(D),,,,
18,63rd BPSC,3,Local Government,The system of Panchayati Raj is mentioned in,A. The Union List | B. The State List | C. The Concurrent List | D. None of the above | E. None of the above/More than one of the above,(B),,,,
19,63rd BPSC,4,Local Government,50% reservation for women in Panchayati Raj Institutions is legalized in certain States such asI. BiharII. UttarakhandIII. Madhya PradeshIV. Himachal Pradesh,"A. Only II and III | B. Only II and IV | C. II, III and IV | D. I, II, III and IV | E. None of the above/More than one of the above",(D),,,,
20,63rd BPSC,5,Parliament,Money Bill can be presented,A. only in the Lok Sabha | B. only in the Rajya Sabha | C. in both the Houses | D. in joint meeting of both the Houses | E. None of the above/More than one of the above,(A),,,,
21,63rd BPSC,6,Salient Features of the Constitution,What is the nature of the Indian Constitution?,A. Federal | B. Unitary | C. Parliamentary | D. Federal in nature but unitary in spirit | E. None of the above/More than one of the above,(D),,,,
22,63rd BPSC,7,Supreme Court,Who appoints the Judges of the Supreme Court of India?,A. The Prime Minister | B. The President | C. The Chief Justice of India | D. The Ombudsman | E. None of the above/More than one of the above,(B),,,,
23,63rd BPSC,8,Parliament,Who is the Ex Officio Chairman of the Rajya Sabha?,A. The President | B. The Vice President | C. The Prime Minister | D. None of the above | E. None of the above/More than one of the above,(B),,,,
24,63rd BPSC,9,PM & Council of Ministers,The Prime Minister of India is responsible to whom?,A. The Cabinet | B. The President | C. The Lok Sabha | D. The Rajya Sabha | E. None of the above/More than one of the above,(C),,,,
25,63rd BPSC,10,Parliament,What is the minimum age for a Member of the Parliament?,A. 18 years | B. 21 years | C. 25 years | D. 30 years | E. None of the above/More than one of the above,(C),,,,
26,63rd BPSC,11,Supreme Court,What is the retirement age of the Judges of the Supreme Court?,A. 60 years | B. 62 years | C. 65 years | D. 70 years | E. None of the above/More than one of the above,(C),,,,
27,63rd BPSC,12,Civil Services,Who is the highest Civil Services Officer of the Central Government?,A. The Attorney General of India | B. The Cabinet Secretary | C. The Home Secretary | D. The Finance Secretary | E. None of the above/More than one of the above,(B),,,,
28,64th BPSC,81,Centre-State Relations,"After Independence, in which year were the Indian States reorganized on the linguistic basis?","A. 1947 | B. 1951 | C. 1956 | D. 2000 | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **1956***",,,,,
29,64th BPSC,91,Fundamental Rights,A Judge of the Supreme Court may resign his office by writing to,"A. the President | B. the Prime Minister | C. the Law Minister | D. the Attorney General of India | E. None of the above/More than one of the above

*Correct Answer: **(A)** | Verified Answer: **the President***",,,,,
30,64th BPSC,92,National Commissions,Who was the first Chairman of the Backward Classes Commission?,"A. Jagjivan Ram | B. Kaka Saheb Kalelkar | C. B. D. Sharma | D. B. R. Ambedkar | E. None of the above/More than one of the above

*Correct Answer: **(B)** | Verified Answer: **Kaka Saheb Kalelkar***",,,,,
31,64th BPSC,93,UPSC & SPSC,The Chairman of the State Public Service Commission is appointed by,"A. the Chairman of the Union Public Service Commission | B. the President of India | C. the Governor of the State | D. the Chief Minister | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **the Governor of the State***",,,,,
32,64th BPSC,94,Parliament,"In order to be chosen a member of the Lok Sabha, a person must not be less than the age of","A. 18 years | B. 21 years | C. 25 years | D. 30 years | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **25 years***",,,,,
33,64th BPSC,95,Governor,The Governor of a State is appointed by,"A. the Prime Minister | B. the Chief Justice of India | C. the President | D. the Chief Justice of the High Court | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **the President***",,,,,
