id,year,position,subject,answer,url,infographic_url
UPSCPRELI1995GS01001,1995,1,geography,B,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01001,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01001.webp
UPSCPRELI1995GS01002,1995,2,history,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01002,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01002.webp
UPSCPRELI1995GS01003,1995,3,economy,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01003,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01003.webp
UPSCPRELI1995GS01004,1995,4,polity-and-governance,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01004,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01004.webp
UPSCPRELI1995GS01005,1995,5,history,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01005,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01005.webp
UPSCPRELI1995GS01006,1995,6,geography,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01006,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01006.webp
UPSCPRELI1995GS01007,1995,7,geography,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01007,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01007.webp
UPSCPRELI1995GS01008,1995,8,polity-and-governance,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01008,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01008.webp
UPSCPRELI1995GS01009,1995,9,history,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01009,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01009.webp
UPSCPRELI1995GS01010,1995,10,geography,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01010,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01010.webp
UPSCPRELI1995GS01011,1995,11,economy,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01011,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01011.webp
UPSCPRELI1995GS01012,1995,12,polity-and-governance,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01012,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01012.webp
UPSCPRELI1995GS01013,1995,13,history,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01013,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01013.webp
UPSCPRELI1995GS01014,1995,14,geography,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01014,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01014.webp
UPSCPRELI1995GS01015,1995,15,economy,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01015,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01015.webp
UPSCPRELI1995GS01016,1995,16,polity-and-governance,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01016,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01016.webp
UPSCPRELI1995GS01017,1995,17,history,B,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01017,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01017.webp
UPSCPRELI1995GS01018,1995,18,history,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01018,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01018.webp
UPSCPRELI1995GS01019,1995,19,polity-and-governance,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01019,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01019.webp
UPSCPRELI1995GS01020,1995,20,art-and-culture,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01020,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01020.webp
UPSCPRELI1995GS01021,1995,21,geography,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01021,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01021.webp
UPSCPRELI1995GS01022,1995,22,economy,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01022,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01022.webp
UPSCPRELI1995GS01023,1995,23,polity-and-governance,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01023,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01023.webp
UPSCPRELI1995GS01024,1995,24,history,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01024,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01024.webp
UPSCPRELI1995GS01025,1995,25,economy,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01025,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01025.webp
UPSCPRELI1995GS01026,1995,26,geography,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01026,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01026.webp
UPSCPRELI1995GS01027,1995,27,art-and-culture,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01027,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01027.webp
UPSCPRELI1995GS01028,1995,28,history,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01028,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01028.webp
UPSCPRELI1995GS01029,1995,29,economy,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01029,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01029.webp
UPSCPRELI1995GS01030,1995,30,polity-and-governance,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01030,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01030.webp
UPSCPRELI1995GS01031,1995,31,geography,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01031,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01031.webp
UPSCPRELI1995GS01032,1995,32,economy,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01032,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01032.webp
UPSCPRELI1995GS01033,1995,33,polity-and-governance,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01033,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01033.webp
UPSCPRELI1995GS01034,1995,34,polity-and-governance,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01034,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01034.webp
UPSCPRELI1995GS01035,1995,35,economy,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01035,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01035.webp
UPSCPRELI1995GS01036,1995,36,art-and-culture,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01036,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01036.webp
UPSCPRELI1995GS01037,1995,37,art-and-culture,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01037,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01037.webp
UPSCPRELI1995GS01038,1995,38,science-and-technology,B,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01038,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01038.webp
UPSCPRELI1995GS01039,1995,39,geography,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01039,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01039.webp
UPSCPRELI1995GS01040,1995,40,economy,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01040,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01040.webp
UPSCPRELI1995GS01041,1995,41,polity-and-governance,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01041,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01041.webp
UPSCPRELI1995GS01042,1995,42,polity-and-governance,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01042,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01042.webp
UPSCPRELI1995GS01043,1995,43,history,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01043,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01043.webp
UPSCPRELI1995GS01044,1995,44,polity-and-governance,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01044,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01044.webp
UPSCPRELI1995GS01045,1995,45,art-and-culture,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01045,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01045.webp
UPSCPRELI1995GS01046,1995,46,geography,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01046,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01046.webp
UPSCPRELI1995GS01047,1995,47,economy,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01047,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01047.webp
UPSCPRELI1995GS01048,1995,48,history,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01048,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01048.webp
UPSCPRELI1995GS01049,1995,49,polity-and-governance,B,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01049,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01049.webp
UPSCPRELI1995GS01050,1995,50,art-and-culture,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01050,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01050.webp
UPSCPRELI1995GS01051,1995,51,economy,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01051,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01051.webp
UPSCPRELI1995GS01052,1995,52,economy,D,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01052,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01052.webp
UPSCPRELI1995GS01053,1995,53,polity-and-governance,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01053,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01053.webp
UPSCPRELI1995GS01054,1995,54,history,C,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01054,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01054.webp
UPSCPRELI1995GS01055,1995,55,economy,A,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01055,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01055.webp
UPSCPRELI1995GS01056,1995,56,economy,B,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01056,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01056.webp
