year,id,paper,position,answer,infographic_url,question_url
1995,UPSCPRELI1995GS01001,GS1,1,B,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01001.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01001
1995,UPSCPRELI1995GS01002,GS1,2,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01002.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01002
1995,UPSCPRELI1995GS01003,GS1,3,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01003.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01003
1995,UPSCPRELI1995GS01004,GS1,4,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01004.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01004
1995,UPSCPRELI1995GS01005,GS1,5,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01005.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01005
1995,UPSCPRELI1995GS01006,GS1,6,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01006.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01006
1995,UPSCPRELI1995GS01007,GS1,7,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01007.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01007
1995,UPSCPRELI1995GS01008,GS1,8,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01008.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01008
1995,UPSCPRELI1995GS01009,GS1,9,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01009.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01009
1995,UPSCPRELI1995GS01010,GS1,10,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01010.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01010
1995,UPSCPRELI1995GS01011,GS1,11,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01011.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01011
1995,UPSCPRELI1995GS01012,GS1,12,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01012.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01012
1995,UPSCPRELI1995GS01013,GS1,13,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01013.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01013
1995,UPSCPRELI1995GS01014,GS1,14,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01014.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01014
1995,UPSCPRELI1995GS01015,GS1,15,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01015.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01015
1995,UPSCPRELI1995GS01016,GS1,16,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01016.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01016
1995,UPSCPRELI1995GS01017,GS1,17,B,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01017.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01017
1995,UPSCPRELI1995GS01018,GS1,18,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01018.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01018
1995,UPSCPRELI1995GS01019,GS1,19,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01019.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01019
1995,UPSCPRELI1995GS01020,GS1,20,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01020.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01020
1995,UPSCPRELI1995GS01021,GS1,21,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01021.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01021
1995,UPSCPRELI1995GS01022,GS1,22,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01022.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01022
1995,UPSCPRELI1995GS01023,GS1,23,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01023.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01023
1995,UPSCPRELI1995GS01024,GS1,24,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01024.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01024
1995,UPSCPRELI1995GS01025,GS1,25,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01025.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01025
1995,UPSCPRELI1995GS01026,GS1,26,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01026.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01026
1995,UPSCPRELI1995GS01027,GS1,27,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01027.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01027
1995,UPSCPRELI1995GS01028,GS1,28,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01028.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01028
1995,UPSCPRELI1995GS01029,GS1,29,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01029.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01029
1995,UPSCPRELI1995GS01030,GS1,30,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01030.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01030
1995,UPSCPRELI1995GS01031,GS1,31,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01031.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01031
1995,UPSCPRELI1995GS01032,GS1,32,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01032.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01032
1995,UPSCPRELI1995GS01033,GS1,33,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01033.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01033
1995,UPSCPRELI1995GS01034,GS1,34,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01034.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01034
1995,UPSCPRELI1995GS01035,GS1,35,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01035.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01035
1995,UPSCPRELI1995GS01036,GS1,36,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01036.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01036
1995,UPSCPRELI1995GS01037,GS1,37,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01037.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01037
1995,UPSCPRELI1995GS01038,GS1,38,B,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01038.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01038
1995,UPSCPRELI1995GS01039,GS1,39,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01039.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01039
1995,UPSCPRELI1995GS01040,GS1,40,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01040.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01040
1995,UPSCPRELI1995GS01041,GS1,41,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01041.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01041
1995,UPSCPRELI1995GS01042,GS1,42,A,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01042.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01042
1995,UPSCPRELI1995GS01043,GS1,43,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01043.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01043
1995,UPSCPRELI1995GS01044,GS1,44,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01044.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01044
1995,UPSCPRELI1995GS01045,GS1,45,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01045.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01045
1995,UPSCPRELI1995GS01046,GS1,46,C,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01046.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01046
1995,UPSCPRELI1995GS01047,GS1,47,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01047.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01047
1995,UPSCPRELI1995GS01048,GS1,48,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01048.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01048
1995,UPSCPRELI1995GS01049,GS1,49,B,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01049.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01049
1995,UPSCPRELI1995GS01050,GS1,50,D,https://storage.googleapis.com/dalvoy-lessons-images/prelims-infographics/1995/UPSCPRELI1995GS01050.webp,https://www.dalvoy.com/upsc/prelims/1995/q/UPSCPRELI1995GS01050
